2017-06-19 03:46:46 status half-installed gzip:armhf 1.6-4ubuntu1
2017-06-19 03:46:46 status unpacked gzip:armhf 1.6-4ubuntu1
2017-06-19 03:46:46 status unpacked gzip:armhf 1.6-4ubuntu1
2017-06-19 03:46:46 install hostname:armhf <none> 3.16ubuntu2
2017-06-19 03:46:46 status half-installed hostname:armhf 3.16ubuntu2
2017-06-19 03:46:47 status unpacked hostname:armhf 3.16ubuntu2
2017-06-19 03:46:47 status unpacked hostname:armhf 3.16ubuntu2
2017-06-19 03:46:47 install init:armhf <none> 1.29ubuntu1
2017-06-19 03:46:47 status half-installed init:armhf 1.29ubuntu1
2017-06-19 03:46:47 status unpacked init:armhf 1.29ubuntu1
2017-06-19 03:46:47 status unpacked init:armhf 1.29ubuntu1
2017-06-19 03:46:47 install init-system-helpers:all <none> 1.29ubuntu1
2017-06-19 03:46:47 status half-installed init-system-helpers:all 1.29ubuntu1
2017-06-19 03:46:47 status unpacked init-system-helpers:all 1.29ubuntu1
2017-06-19 03:46:47 status unpacked init-system-helpers:all 1.29ubuntu1
2017-06-19 03:46:47 install initscripts:armhf <none> 2.88dsf-59.3ubuntu2
2017-06-19 03:46:47 status half-installed initscripts:armhf 2.88dsf-59.3ubuntu2
2017-06-19 03:46:47 status unpacked initscripts:armhf 2.88dsf-59.3ubuntu2
2017-06-19 03:46:47 status unpacked initscripts:armhf 2.88dsf-59.3ubuntu2
2017-06-19 03:46:47 install insserv:armhf <none> 1.14.0-5ubuntu3
2017-06-19 03:46:47 status half-installed insserv:armhf 1.14.0-5ubuntu3
2017-06-19 03:46:48 status unpacked insserv:armhf 1.14.0-5ubuntu3
2017-06-19 03:46:48 status unpacked insserv:armhf 1.14.0-5ubuntu3
2017-06-19 03:46:48 install libacl1:armhf <none> 2.2.52-3
2017-06-19 03:46:48 status half-installed libacl1:armhf 2.2.52-3
2017-06-19 03:46:48 status unpacked libacl1:armhf 2.2.52-3
2017-06-19 03:46:48 status unpacked libacl1:armhf 2.2.52-3
2017-06-19 03:46:48 install libapparmor1:armhf <none> 2.10.95-0ubuntu2
2017-06-19 03:46:48 status half-installed libapparmor1:armhf 2.10.95-0ubuntu2
2017-06-19 03:46:48 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2017-06-19 03:46:48 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2017-06-19 03:46:48 install libattr1:armhf <none> 1:2.4.47-2
2017-06-19 03:46:48 status half-installed libattr1:armhf 1:2.4.47-2
2017-06-19 03:46:48 status unpacked libattr1:armhf 1:2.4.47-2
2017-06-19 03:46:48 status unpacked libattr1:armhf 1:2.4.47-2
2017-06-19 03:46:48 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2017-06-19 03:46:48 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2017-06-19 03:46:48 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-06-19 03:46:48 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-06-19 03:46:49 install libaudit1:armhf <none> 1:2.4.5-1ubuntu2
2017-06-19 03:46:49 status half-installed libaudit1:armhf 1:2.4.5-1ubuntu2
2017-06-19 03:46:49 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2017-06-19 03:46:49 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2017-06-19 03:46:49 install libblkid1:armhf <none> 2.27.1-6ubuntu3
2017-06-19 03:46:49 status half-installed libblkid1:armhf 2.27.1-6ubuntu3
2017-06-19 03:46:49 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2017-06-19 03:46:49 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2017-06-19 03:46:49 install libbz2-1.0:armhf <none> 1.0.6-8
2017-06-19 03:46:49 status half-installed libbz2-1.0:armhf 1.0.6-8
2017-06-19 03:46:49 status unpacked libbz2-1.0:armhf 1.0.6-8
2017-06-19 03:46:49 status unpacked libbz2-1.0:armhf 1.0.6-8
2017-06-19 03:46:49 install libc-bin:armhf <none> 2.23-0ubuntu3
2017-06-19 03:46:49 status half-installed libc-bin:armhf 2.23-0ubuntu3
2017-06-19 03:46:50 status unpacked libc-bin:armhf 2.23-0ubuntu3
2017-06-19 03:46:50 status unpacked libc-bin:armhf 2.23-0ubuntu3
2017-06-19 03:46:50 upgrade libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2017-06-19 03:46:50 status half-configured libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:50 status unpacked libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:51 status half-installed libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:54 status half-installed libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:54 status unpacked libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:54 status unpacked libc6:armhf 2.23-0ubuntu3
2017-06-19 03:46:54 install libcap2:armhf <none> 1:2.24-12
2017-06-19 03:46:54 status half-installed libcap2:armhf 1:2.24-12
2017-06-19 03:46:55 status unpacked libcap2:armhf 1:2.24-12
2017-06-19 03:46:55 status unpacked libcap2:armhf 1:2.24-12
2017-06-19 03:46:55 install libcap2-bin:armhf <none> 1:2.24-12
2017-06-19 03:46:55 status half-installed libcap2-bin:armhf 1:2.24-12
2017-06-19 03:46:55 status unpacked libcap2-bin:armhf 1:2.24-12
2017-06-19 03:46:55 status unpacked libcap2-bin:armhf 1:2.24-12
2017-06-19 03:46:55 install libcomerr2:armhf <none> 1.42.13-1ubuntu1
2017-06-19 03:46:55 status half-installed libcomerr2:armhf 1.42.13-1ubuntu1
2017-06-19 03:46:55 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2017-06-19 03:46:55 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2017-06-19 03:46:55 install libcryptsetup4:armhf <none> 2:1.6.6-5ubuntu2
2017-06-19 03:46:55 status half-installed libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-06-19 03:46:55 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
